genome_id,pattern_idx,pattern,time_s,mem_gb,precision,recall,f1
GCF_963575795.1_GENOMIC21-004_genomic.fna,168,######___________________,27.12,7.13,0.0554,0.7229,0.1029
GCF_963575795.1_GENOMIC21-004_genomic.fna,178,######_____________________________,25.67,7.13,0.0554,0.7229,0.1029
GCF_963575795.1_GENOMIC21-004_genomic.fna,188,#######_________,42.72,12.09,0.0512,0.8373,0.0965
GCF_963575795.1_GENOMIC21-004_genomic.fna,198,#######___________________,28.93,7.45,0.0581,0.8012,0.1083
GCF_963575795.1_GENOMIC21-004_genomic.fna,208,#######_____________________________,28.75,7.44,0.0581,0.8012,0.1083
GCF_963575795.1_GENOMIC21-004_genomic.fna,218,########_________,45.17,12.06,0.0537,0.8494,0.1010
GCF_963575795.1_GENOMIC21-004_genomic.fna,228,########___________________,29.15,7.77,0.0577,0.8373,0.1080
GCF_963575795.1_GENOMIC21-004_genomic.fna,238,########_____________________________,30.86,7.76,0.0577,0.8373,0.1080
GCF_963575795.1_GENOMIC21-004_genomic.fna,248,#########_________,40.17,11.77,0.0566,0.8494,0.1061
GCF_963575795.1_GENOMIC21-004_genomic.fna,258,#########___________________,33.86,8.74,0.0566,0.8494,0.1061
GCF_963575795.1_GENOMIC21-004_genomic.fna,268,#########_____________________________,34.15,8.78,0.0566,0.8494,0.1061
GCF_963575795.1_GENOMIC21-004_genomic.fna,278,##########_________,41.89,12.08,0.0549,0.8554,0.1032
GCF_963575795.1_GENOMIC21-004_genomic.fna,288,##########___________________,36.11,9.37,0.0549,0.8554,0.1032
GCF_963575795.1_GENOMIC21-004_genomic.fna,298,##########_____________________________,38.88,9.37,0.0549,0.8554,0.1032
GCF_963575795.1_GENOMIC21-004_genomic.fna,308,###########_________,41.68,12.17,0.0513,0.8614,0.0968
GCF_963575795.1_GENOMIC21-004_genomic.fna,318,###########___________________,40.46,11.83,0.0513,0.8614,0.0968
GCF_963575795.1_GENOMIC21-004_genomic.fna,328,###########_____________________________,42.91,11.84,0.0513,0.8614,0.0968
GCF_963575795.1_GENOMIC21-004_genomic.fna,338,############_________,43.58,12.16,0.0508,0.8614,0.0959
GCF_963575795.1_GENOMIC21-004_genomic.fna,348,############___________________,45.96,12.14,0.0508,0.8614,0.0959
GCF_963575795.1_GENOMIC21-004_genomic.fna,358,############_____________________________,44.94,12.16,0.0508,0.8614,0.0959
GCF_963575795.1_GENOMIC21-004_genomic.fna,368,#############_________,44.91,12.50,0.0502,0.8614,0.0949
GCF_963575795.1_GENOMIC21-004_genomic.fna,378,#############___________________,48.40,12.47,0.0502,0.8614,0.0949
GCF_963575795.1_GENOMIC21-004_genomic.fna,388,#############_____________________________,46.92,12.49,0.0502,0.8614,0.0949
GCF_963575795.1_GENOMIC21-004_genomic.fna,398,##############_________,52.78,12.80,0.0494,0.8614,0.0934
GCF_963575795.1_GENOMIC21-004_genomic.fna,408,##############___________________,50.00,12.82,0.0494,0.8614,0.0934
